,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
1429,52,25,1,3,1,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,25,2.0,2.0,2,Wn-13: Be careful
1433,53,25,1,1,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1434,53,25,1,1,0,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3.0,3.0,3,Wn-12: Adjust fishing time
1437,53,25,1,2,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1438,53,25,1,2,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3.0,3.0,3,Wn-12: Adjust fishing time
1440,53,25,1,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,3.0,3.0,3,Wn-7: Be careful
1441,53,25,1,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,3.0,3.0,3,Wn-8: Adjust fishing time
1447,53,25,1,2,1,3,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,4.0,4.0,4,Wn-4: Stay alert/retrieve fishing gear
1448,53,25,1,2,1,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,4.0,4.0,4,Wn-8: Be careful
1451,53,25,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,4.0,4.0,4,Wn-7: Adjust fishing time
1452,53,25,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,4.0,4.0,4,Wn-8: Be careful
1456,53,25,1,2,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1457,53,25,1,2,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,3.0,3.0,3,Wn-8: Be careful
1462,54,25,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,2.0,2.0,2,Wn-5: Be careful
1463,54,25,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,3.0,3.0,3,Wn-6: Adjust fishing time
1465,54,25,1,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,1.0,1.0,1,Wn-5: Be careful
1466,54,25,1,2,1,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,3.0,3.0,3,Wn-13: Adjust fishing time
1471,54,25,1,3,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,25,4.0,4.0,4,Wn-6: Adjust fishing time
1472,54,25,1,3,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,4.0,4.0,4,Wn-8: Be careful
1477,54,25,1,3,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1478,54,25,1,3,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,3.0,3.0,3,Wn-8: Be careful
1482,54,25,1,3,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,25,1.0,1.0,1,Wn-5: Be careful
1483,54,25,1,3,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,1.0,1.0,1,Wn-8: Adjust fishing time
1488,55,25,1,1,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,23,4.0,4.0,4,Wn-4: Stay alert/retrieve fishing gear
1489,55,25,1,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,2.0,2.0,2,Wn-6: Be careful
1490,55,25,1,1,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,3.0,3.0,3,Wn-12: Adjust fishing time
1494,55,25,1,3,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,2.0,2.0,2,Wn-6: Be careful
1495,55,25,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,4.0,4.0,4,Wn-8: Adjust fishing time
